# moID,sdss_run,sdss_col,sdss_field,sdss_obj,rowc,colc,mjd,ra,dec,lambda,beta,phi,vmu,vmu_err,vnu,vnu_err,vlambda,vbeta,mag_u,err_u,mag_g,err_g,mag_r,err_r,mag_i,err_i,mag_z,err_z,mag_a,err_a,mag_V,mag_B,ast_flag,ast_num,ast_designation,ast_det_count,ast_det_total,ast_flags,ra_comp,dec_comp,mag_comp,r_helio,r_geo,phase,cat_id,H,G,Arc,Epoch,a,e,i,asc_node,arg_peri,M,PEcat_id,aprime,eprime,sin_iprime
b's0584d',1033,1,18,501,998.964,227.926,51464.17464,319.778532,-1.028106,321.858475,13.907705,-57.528619,0.0202,0.0037,-0.0973,0.0032,-0.0117,-0.0988,21.81,0.2,20.32,0.04,19.77,0.02,19.561762,0.03,19.43982,0.14,0.009377446,0.04,19.99,20.75,1,62869,b'2000_UO84',1,2,0,319.778812,-1.028018,20.05,3.225,2.59,15.32,b'ASTORB_20041008',14.6,0.15,4095.0,53300.5,3.01652768,0.08975227,14.197422,207.942653,346.90541,119.862253,b'ASTDYS_N_20041008',3.01297,0.1441,0.2474
b's05871',1033,1,26,84,447.126,1859.88,51464.17779,320.915442,-0.84857,323.027658,13.719575,-56.362552,0.0156,0.0024,-0.0753,0.0027,-0.0094,-0.0764,19.69,0.03,17.91,0.02,17.32,0.01,17.101986,0.02,17.051657,0.03,0.04536371,0.02,17.56,18.36,1,5212,b'1989_SS',1,1,0,320.915543,-0.848566,16.91,3.136,2.484,15.56,b'ASTORB_20041008',11.6,0.15,5463.0,53300.5,3.02714364,0.0835713,11.375531,230.39305,225.860346,234.376329,b'ASTDYS_N_20041008',3.02742,0.0856,0.2121
b's0586a',1033,1,38,385,1075.33,1557.66,51464.18295,322.781026,-0.881779,324.832464,13.08832,-54.562862,0.0947,0.0042,-0.034,0.0042,0.0806,-0.0629,21.53,0.12,19.88,0.02,19.23,0.02,19.12369,0.03,19.038269,0.06,0.05483338,0.02,19.49,20.35,1,0,b'2003_WJ38',1,1,0,322.780935,-0.881736,19.5,1.921,1.172,25.4,b'ASTORB_20041008',16.57,0.15,1591.0,53300.5,2.3578807,0.20748863,8.189944,274.373214,109.188165,118.278019,b'ASTDYS_U_20041008',2.35713,0.1738,0.1605
b's05869',1033,1,39,382,550.47,1376.54,51464.18321,322.873013,-0.901683,324.915098,13.039572,-54.480479,0.0326,0.0029,-0.105,0.0032,-0.0034,-0.1099,21.83,0.16,19.82,0.02,19.16,0.02,18.944746,0.02,19.016695,0.06,0.11857065,0.02,19.43,20.3,1,35549,b'1998_FT108',1,1,0,322.873042,-0.901654,18.9,2.76,2.07,17.34,b'ASTORB_20041008',14.2,0.15,2353.0,53300.5,2.62425392,0.13097136,12.570014,212.389797,10.351804,170.453137,b'ASTDYS_N_20041008',2.62381,0.1701,0.2203
b's058d2',1033,1,86,297,1003.84,1547.68,51464.20283,329.958783,-0.882237,331.73463,10.660317,-47.680373,-0.0615,0.0042,-0.0408,0.0034,-0.0732,-0.0167,21.54,0.12,19.66,0.02,19.09,0.02,18.961567,0.03,18.84761,0.05,0.00443095,0.02,19.32,20.11,1,39737,b'1997_AE1',1,1,0,329.95871,-0.882067,19.45,2.931,2.174,14.79,b'ASTORB_20041008',14.6,0.15,2823.0,53300.5,2.67060609,0.10705925,11.147634,301.61726,202.226731,262.960537,b'ASTDYS_N_20041008',2.66956,0.1465,0.2078
b's058d4',1033,1,89,302,995.504,1928.58,51464.20407,330.406922,-0.840303,332.176456,10.542253,-47.239776,-0.0074,0.0027,0.0554,0.0027,0.0128,0.0545,20.74,0.06,18.96,0.02,18.29,0.01,18.05005,0.02,18.12302,0.03,0.14247857,0.02,18.57,19.46,1,66569,b'1999_RM145',1,2,0,330.406967,-0.840257,18.63,2.035,1.228,21.43,b'ASTORB_20041008',15.6,0.15,3949.0,53300.5,2.55426412,0.20415734,12.904063,324.336811,35.224435,79.77598,b'ASTDYS_N_20041008',2.55419,0.1602,0.2309
b's058a7',1033,1,112,205,504.094,1811.38,51464.21346,333.795968,-0.8528,335.38574,9.321331,-44.039782,0.0162,0.0032,-0.1281,0.0032,-0.0317,-0.1253,21.26,0.09,19.31,0.03,18.63,0.02,18.405624,0.02,18.487438,0.04,0.12707146,0.02,18.91,19.8,1,66702,b'1999_TJ88',1,2,0,333.795968,-0.852743,18.67,2.334,1.518,17.54,b'ASTORB_20041008',15.0,0.15,2348.0,53300.5,2.74244129,0.15226995,11.633671,203.651498,138.437747,45.942492,b'ASTDYS_N_20041008',2.74313,0.1171,0.2079
b's0589c',1033,1,115,177,462.02,287.858,51464.21469,334.240461,-1.020256,335.743917,9.004273,-43.682824,-0.0719,0.0029,-0.0199,0.0029,-0.0751,0.0075,21.25,0.1,19.48,0.02,18.79,0.02,18.606085,0.02,18.726059,0.04,0.13436852,0.02,19.08,19.98,1,0,b'1999_RS147',1,2,0,334.240444,-1.020181,18.39,2.844,2.044,14.22,b'ASTORB_20041008',13.76,0.15,937.0,53300.5,3.14755009,0.12837114,10.849752,313.4441,81.519649,289.281016,b'ASTDYS_U_20041008',3.15397,0.0889,0.207
b's0589b',1033,1,116,212,359.954,711.062,51464.21508,334.378954,-0.973672,335.891673,8.997426,-43.535447,0.0162,0.0032,-0.0772,0.0032,-0.0131,-0.0778,21.1,0.08,19.57,0.02,19.09,0.02,19.019182,0.02,18.94964,0.05,-0.112271376,0.02,19.28,19.96,1,0,b'1999_RP144',1,2,0,334.378921,-0.973639,18.88,2.175,1.346,18.69,b'ASTORB_20041008',15.59,0.15,1534.0,53300.5,2.59010589,0.18192723,6.19919,237.975622,84.298928,96.200439,b'ASTDYS_U_20041008',2.59089,0.1497,0.1267
b's058aa',1033,1,122,116,88.089,108.649,51464.21748,335.247297,-1.039793,336.685516,8.619601,-42.743985,-0.004,0.0034,-0.1448,0.0034,-0.0573,-0.1334,21.03,0.08,19.27,0.02,18.51,0.01,18.334402,0.02,18.282213,0.03,0.19480729,0.02,18.82,19.81,1,37865,b'1998_FS15',1,1,0,335.247295,-1.039743,18.66,2.441,1.618,16.33,b'ASTORB_20041008',14.8,0.15,18316.0,53300.5,2.59730981,0.15434587,13.846019,196.582751,81.547104,129.776801,b'ASTDYS_N_20041008',2.5987,0.1358,0.2475
